REGIÃO;UF;DESTINATARIO;LOCALIDADE;ITEM;PROGRAMA DE SAÚDE;QUANTIDADE;STATUS;DATA DE ENTREGA; VALOR UNITÁRIO  ; VALOR TOTAL  
NORDESTE;ALAGOAS;SES;ALAGOAS ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;-350.000;REMANEJAMENTO ;04/09/2020; R$-    ; R$-   
NORDESTE;MARANHÃO ;SES;MARANHÃO;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;-180.000;REMANEJAMENTO ;04/09/2020; R$-    ; R$-   
NORDESTE;PARAÍBA;SES;PARAÍBA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;-40.000;REMANEJAMENTO ;04/09/2020; R$-    ; R$-   
CENTRO-OESTE;DISTRITO FEDERAL ;SES;DISTRITO FEDERAL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;-10.000;REMANEJAMENTO ;04/09/2020; R$-    ; R$-   
NORDESTE;RIO GRANDE DO NORTE ;SES;RIO GRANDE DO NORTE ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;-7.000;REMANEJAMENTO ;04/09/2020; R$-    ; R$-   
SUDESTE;SÃO PAULO ;SES;SÃO PAULO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;-150.000;REMANEJAMENTO ;04/09/2020; R$-    ; R$-   
SUL ;SANTA CATARINA ;SMS;ASCURA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1.500;ENTREGA REALIZADA;24/08/2020; R$-    ; R$-   
SUL ;RIO GRANDE DO SUL ;SMS;SALVADOR DO SUL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA;18/08/2020; R$-    ; R$-   
SUL ;RIO GRANDE DO SUL ;SMS;RIO GRANDE ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;40.000;ENTREGA REALIZADA;18/08/2020; R$-    ; R$-   
SUL ;RIO GRANDE DO SUL ;SMS;MONTENEGRO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;9.000;ENTREGA REALIZADA;18/08/2020; R$-    ; R$-   
