name,label,Date,Total_amount
ACRE,chloroquine,2020-03,5000
ACRE,chloroquine,2020-04,5000
ACRE,chloroquine,2020-05,8000
ACRE,chloroquine,2020-06,79000
ACRE,chloroquine,2020-08,94000
ALAGOAS,chloroquine,2020-03,2500
ALAGOAS,chloroquine,2020-04,5000
ALAGOAS,chloroquine,2020-05,24000
ALAGOAS,chloroquine,2020-06,380500
ALAGOAS,chloroquine,2020-07,30000
ALAGOAS,chloroquine,2020-08,5500
AMAPÁ,chloroquine,2020-03,2000
AMAPÁ,chloroquine,2020-04,10000
AMAPÁ,chloroquine,2020-05,25000
AMAPÁ,chloroquine,2020-06,73500
AMAZONAS,chloroquine,2020-03,11000
AMAZONAS,chloroquine,2020-04,50000
AMAZONAS,chloroquine,2020-05,110000
AMAZONAS,chloroquine,2020-06,200000
AMAZONAS,chloroquine,2020-07,10000
AMAZONAS,chloroquine,2021-01,130000
BAHIA,chloroquine,2020-03,17000
BAHIA,chloroquine,2020-04,24000
BAHIA,chloroquine,2020-06,40000
BAHIA,chloroquine,2020-08,169000
BAHIA,chloroquine,2020-09,30500
CEARÁ,chloroquine,2020-03,40000
CEARÁ,chloroquine,2020-04,60000
CEARÁ,chloroquine,2020-05,202000
CEARÁ,chloroquine,2020-07,50000
DISTRITO FEDERAL,chloroquine,2020-03,32000
DISTRITO FEDERAL,chloroquine,2020-04,19000
DISTRITO FEDERAL,chloroquine,2020-05,21000
ESPÍRITO SANTO,chloroquine,2020-03,8000
ESPÍRITO SANTO,chloroquine,2020-04,14000
ESPÍRITO SANTO,chloroquine,2020-05,56000
ESPÍRITO SANTO,chloroquine,2020-07,94000
ESPÍRITO SANTO,chloroquine,2020-09,4000
ESPÍRITO SANTO,chloroquine,2020-10,1500
GOIÁS,chloroquine,2020-03,6000
GOIÁS,chloroquine,2020-04,8000
GOIÁS,chloroquine,2020-06,15000
GOIÁS,chloroquine,2020-07,25000
GOIÁS,chloroquine,2020-08,38500
GOIÁS,chloroquine,2020-09,23000
GOIÁS,chloroquine,2020-10,13500
MARANHÃO,chloroquine,2020-03,2000
MARANHÃO,chloroquine,2020-04,16000
MARANHÃO,chloroquine,2020-05,80000
MARANHÃO,chloroquine,2020-06,180000
MATO GROSSO,chloroquine,2020-03,3000
MATO GROSSO,chloroquine,2020-04,6000
MATO GROSSO,chloroquine,2020-05,6000
MATO GROSSO,chloroquine,2020-07,99000
MATO GROSSO,chloroquine,2020-08,37500
MATO GROSSO,chloroquine,2020-09,2500
MATO GROSSO DO SUL,chloroquine,2020-03,5000
MATO GROSSO DO SUL,chloroquine,2020-04,5000
MATO GROSSO DO SUL,chloroquine,2020-05,6000
MATO GROSSO DO SUL,chloroquine,2020-07,40000
MATO GROSSO DO SUL,chloroquine,2020-09,60500
MINAS GERAIS,chloroquine,2020-03,27000
MINAS GERAIS,chloroquine,2020-04,27000
MINAS GERAIS,chloroquine,2020-05,31000
MINAS GERAIS,chloroquine,2020-08,6000
MINAS GERAIS,chloroquine,2020-09,316000
MINAS GERAIS,chloroquine,2020-12,12000
MINAS GERAIS,chloroquine,2021-01,13000
PARANÁ,chloroquine,2020-03,17000
PARANÁ,chloroquine,2020-04,27000
PARANÁ,chloroquine,2020-05,18000
PARANÁ,chloroquine,2020-08,28500
PARAÍBA,chloroquine,2020-03,2000
