name,Total_amount,pop,r
ALAGOAS,1.49583E5,3120494,4.7935679414861876E-2
AMAPÁ,1.102095E5,669526,1.64608245236182E-1
BAHIA,6.74433E5,14016906,4.811568259072294E-2
DISTRITO FEDERAL,6.0657E4,2570160,2.360047623494257E-2
ESPÍRITO SANTO,3.44916E5,3514952,9.812822479510389E-2
GOIÁS,3.25449E5,6003788,5.420727713903289E-2
MARANHÃO,6.6078E4,6574789,1.0050208455358796E-2
MATO GROSSO,2.01141E5,3035122,6.627114165427288E-2
MATO GROSSO DO SUL,2.87949E5,2449024,1.175770429362881E-1
MINAS GERAIS,1.126002E6,19597330,5.745690867072198E-2
PARANÁ,1.68915E5,10444526,1.6172586482143852E-2
PARAÍBA,1.983E4,3766528,5.2647955889349556E-3
PARÁ,3.64101E5,7581051,4.802777345779629E-2
PERNAMBUCO,1.28334E5,8796448,1.4589297862046135E-2
PIAUÍ,3.0225E4,3118360,9.692594825485191E-3
RIO DE JANEIRO,3.19056E5,15989929,1.99535595186195E-2
RIO GRANDE DO NORTE,7.4556E4,3168027,2.353389033616191E-2
RIO GRANDE DO SUL,1.876725E6,11422973,1.6429391892986178E-1
RORAIMA,3.162525E5,450479,7.02036054954837E-1
SANTA CATARINA,1.5192735E6,7164788,2.1204723712690451E-1
SERGIPE,1.56555E4,2068017,7.570295602018745E-3
SÃO PAULO,1.44723E6,41262199,3.507399108806586E-2
TOCANTINS,1.11414E5,1383445,8.053374004749014E-2
