name,label,Date,Total_amount
ACRE,Ventilator,2020-05,30
ACRE,Ventilator,2020-06,120
ACRE,Ventilator,2020-07,20
ACRE,Ventilator,2021-01,20
ACRE,Ventilator,2021-02,40
ALAGOAS,Ventilator,2020-05,30
ALAGOAS,Ventilator,2020-06,105
ALAGOAS,Ventilator,2020-07,87
ALAGOAS,Ventilator,2020-08,3
ALAGOAS,Ventilator,2020-10,11
ALAGOAS,Ventilator,2020-12,1
ALAGOAS,Ventilator,2021-01,50
ALAGOAS,Ventilator,2021-03,40
AMAPÁ,Ventilator,2020-04,45
AMAPÁ,Ventilator,2020-05,60
AMAPÁ,Ventilator,2020-06,20
AMAPÁ,Ventilator,2021-01,8
AMAPÁ,Ventilator,2021-02,4
AMAPÁ,Ventilator,2021-03,36
AMAZONAS,Ventilator,2020-04,90
AMAZONAS,Ventilator,2020-05,88
AMAZONAS,Ventilator,2020-06,44
AMAZONAS,Ventilator,2020-10,80
AMAZONAS,Ventilator,2020-12,90
AMAZONAS,Ventilator,2021-01,204
AMAZONAS,Ventilator,2021-02,77
BAHIA,Ventilator,2020-05,60
BAHIA,Ventilator,2020-06,246
BAHIA,Ventilator,2020-07,355
BAHIA,Ventilator,2020-08,126
BAHIA,Ventilator,2020-09,7
BAHIA,Ventilator,2020-10,15
BAHIA,Ventilator,2020-11,5
BAHIA,Ventilator,2020-12,143
BAHIA,Ventilator,2021-01,32
BAHIA,Ventilator,2021-02,110
BAHIA,Ventilator,2021-03,174
BAHIA,Ventilator,2021-04,10
CEARÁ,Ventilator,2020-04,45
CEARÁ,Ventilator,2020-05,30
CEARÁ,Ventilator,2020-06,105
CEARÁ,Ventilator,2020-07,109
CEARÁ,Ventilator,2020-08,34
CEARÁ,Ventilator,2020-09,1
CEARÁ,Ventilator,2020-10,30
CEARÁ,Ventilator,2021-02,12
CEARÁ,Ventilator,2021-03,30
CEARÁ,Ventilator,2021-04,1
DISTRITO FEDERAL,Ventilator,2020-06,200
DISTRITO FEDERAL,Ventilator,2020-07,50
DISTRITO FEDERAL,Ventilator,2020-10,23
DISTRITO FEDERAL,Ventilator,2021-04,41
ESPÍRITO SANTO,Ventilator,2020-04,10
ESPÍRITO SANTO,Ventilator,2020-05,60
ESPÍRITO SANTO,Ventilator,2020-06,85
ESPÍRITO SANTO,Ventilator,2020-07,79
ESPÍRITO SANTO,Ventilator,2020-08,37
ESPÍRITO SANTO,Ventilator,2020-09,8
ESPÍRITO SANTO,Ventilator,2020-12,150
ESPÍRITO SANTO,Ventilator,2021-03,24
ESPÍRITO SANTO,Ventilator,2021-04,17
GOIÁS,Ventilator,2020-05,25
GOIÁS,Ventilator,2020-06,251
GOIÁS,Ventilator,2020-07,296
GOIÁS,Ventilator,2020-08,108
GOIÁS,Ventilator,2020-09,7
GOIÁS,Ventilator,2020-10,20
GOIÁS,Ventilator,2020-12,48
GOIÁS,Ventilator,2021-01,180
GOIÁS,Ventilator,2021-02,29
GOIÁS,Ventilator,2021-03,286
GOIÁS,Ventilator,2021-04,64
MARANHÃO,Ventilator,2020-05,45
MARANHÃO,Ventilator,2020-06,196
MARANHÃO,Ventilator,2020-07,49
MARANHÃO,Ventilator,2020-08,19
MARANHÃO,Ventilator,2020-10,2
MARANHÃO,Ventilator,2020-12,2
MARANHÃO,Ventilator,2021-01,11
MARANHÃO,Ventilator,2021-02,13
MARANHÃO,Ventilator,2021-03,42
MARANHÃO,Ventilator,2021-04,28
MATO GROSSO,Ventilator,2020-06,150
MATO GROSSO,Ventilator,2020-07,90
MATO GROSSO,Ventilator,2020-08,14
MATO GROSSO,Ventilator,2020-09,15
MATO GROSSO,Ventilator,2020-10,3
MATO GROSSO,Ventilator,2021-03,73
MATO GROSSO,Ventilator,2021-04,33
MATO GROSSO DO SUL,Ventilator,2020-06,100
MATO GROSSO DO SUL,Ventilator,2020-07,119
MATO GROSSO DO SUL,Ventilator,2020-08,62
MATO GROSSO DO SUL,Ventilator,2020-09,5
MATO GROSSO DO SUL,Ventilator,2020-10,54
MATO GROSSO DO SUL,Ventilator,2020-12,20
MATO GROSSO DO SUL,Ventilator,2021-03,38
MATO GROSSO DO SUL,Ventilator,2021-04,15
MINAS GERAIS,Ventilator,2020-06,389
MINAS GERAIS,Ventilator,2020-07,339
MINAS GERAIS,Ventilator,2020-08,182
MINAS GERAIS,Ventilator,2020-09,10
MINAS GERAIS,Ventilator,2020-10,38
MINAS GERAIS,Ventilator,2020-11,10
MINAS GERAIS,Ventilator,2020-12,6
MINAS GERAIS,Ventilator,2021-01,53
MINAS GERAIS,Ventilator,2021-02,112
MINAS GERAIS,Ventilator,2021-03,97
MINAS GERAIS,Ventilator,2021-04,19
PARANÁ,Ventilator,2020-04,20
PARANÁ,Ventilator,2020-06,254
PARANÁ,Ventilator,2020-07,291
PARANÁ,Ventilator,2020-08,73
PARANÁ,Ventilator,2020-09,39
PARANÁ,Ventilator,2020-10,47
PARANÁ,Ventilator,2020-11,134
PARANÁ,Ventilator,2020-12,118
PARANÁ,Ventilator,2021-01,3
PARANÁ,Ventilator,2021-02,50
PARANÁ,Ventilator,2021-03,219
PARANÁ,Ventilator,2021-04,34
PARÁ,Ventilator,2020-04,80
PARÁ,Ventilator,2020-05,414
PARÁ,Ventilator,2020-06,157
PARÁ,Ventilator,2020-07,108
PARÁ,Ventilator,2020-08,35
PARÁ,Ventilator,2020-09,12
PARÁ,Ventilator,2020-10,22
PARÁ,Ventilator,2020-11,2
PARÁ,Ventilator,2020-12,102
PARÁ,Ventilator,2021-01,8
PARÁ,Ventilator,2021-02,126
PARÁ,Ventilator,2021-03,359
PARÁ,Ventilator,2021-04,76
PERNAMBUCO,Ventilator,2020-04,20
PERNAMBUCO,Ventilator,2020-05,75
PERNAMBUCO,Ventilator,2020-06,40
PERNAMBUCO,Ventilator,2020-07,85
PERNAMBUCO,Ventilator,2020-08,5
PERNAMBUCO,Ventilator,2020-10,26
PERNAMBUCO,Ventilator,2020-11,25
PERNAMBUCO,Ventilator,2020-12,2
PERNAMBUCO,Ventilator,2021-02,94
PERNAMBUCO,Ventilator,2021-03,65
PERNAMBUCO,Ventilator,2021-04,11
PIAUÍ,Ventilator,2020-05,20
PIAUÍ,Ventilator,2020-06,70
PIAUÍ,Ventilator,2020-07,89
PIAUÍ,Ventilator,2020-08,18
PIAUÍ,Ventilator,2020-09,8
PIAUÍ,Ventilator,2020-10,2
PIAUÍ,Ventilator,2020-11,3
PIAUÍ,Ventilator,2021-01,50
PIAUÍ,Ventilator,2021-03,50
PIAUÍ,Ventilator,2021-04,15
RIO DE JANEIRO,Ventilator,2020-04,60
RIO DE JANEIRO,Ventilator,2020-05,577
