name,Total_amount,pop,r
ALAGOAS,1.705387E7,3120494,5.465118663903856E0
AMAPÁ,1.084596E7,669526,1.619946051385607E1
BAHIA,6.3845718800000004E7,14016906,4.554908108822304E0
DISTRITO FEDERAL,1.77080994E7,2570160,6.889882108506863E0
ESPÍRITO SANTO,2.51267485E7,3514952,7.1485324692911885E0
GOIÁS,6.682982925E7,6003788,1.113127732857989E1
MARANHÃO,2.061759E7,6574789,3.135855766626123E0
MATO GROSSO,1.682770791E7,3035122,5.5443266893390115E0
MATO GROSSO DO SUL,2.3026612380000003E7,2449024,9.402362892319553E0
MINAS GERAIS,6.658319340999999E7,19597330,3.3975645360873132E0
PARANÁ,6.816828177999999E7,10444526,6.526699419389638E0
PARÁ,7.678578358E7,7581051,1.0128646223327083E1
PERNAMBUCO,1.98524494E7,8796448,2.256871114340697E0
PIAUÍ,1.631346E7,3118360,5.231422927436216E0
RIO DE JANEIRO,9.912455085999998E7,15989929,6.1991864291580026E0
RIO GRANDE DO NORTE,1.928071E7,3168027,6.086030832439244E0
RIO GRANDE DO SUL,6.976169282000001E7,11422973,6.107139780510731E0
RORAIMA,1.158413E7,450479,2.571513877450447E1
SANTA CATARINA,2.4241694470000003E7,7164788,3.383448954805083E0
SERGIPE,1.049149E7,2068017,5.073212647671658E0
SÃO PAULO,8.093078535E7,41262199,1.9613783877587327E0
TOCANTINS,1.319543E7,1383445,9.538095117623035E0
