name,Total_amount
ACRE,1.1829E7
ALAGOAS,1.705387E7
AMAPÁ,1.084596E7
AMAZONAS,3.60722649E7
BAHIA,6.3845718800000004E7
CEARÁ,1.996556746E7
DISTRITO FEDERAL,1.77080994E7
ESPÍRITO SANTO,2.51267485E7
GOIÁS,6.682982925E7
MARANHÃO,2.061759E7
MATO GROSSO,1.682770791E7
MATO GROSSO DO SUL,2.3026612380000003E7
MINAS GERAIS,6.658319340999999E7
PARANÁ,6.816828177999999E7
PARÁ,7.678578358E7
PERNAMBUCO,1.98524494E7
PIAUÍ,1.631346E7
RIO DE JANEIRO,9.912455085999998E7
RIO GRANDE DO NORTE,1.928071E7
RIO GRANDE DO SUL,6.976169282000001E7
RONDÔNIA,2.109967E7
RORAIMA,1.158413E7
SANTA CATARINA,2.4241694470000003E7
SERGIPE,1.049149E7
SÃO PAULO,8.093078535E7
TOCANTINS,1.319543E7
